Feature,Normalized.Dispersion
LOC105318987,1.3155209694422916
LOC105318976,-0.2990482262695296
LOC105318939,2.97381222864087
LOC105318930,-1.6074295520962327
LOC105318923,0.34058664355225227
LOC105319267,-0.7092321990516512
LOC105318875,-0.4507752795653623
LOC105318868,-0.19413585388506993
LOC105318860,0.15679402940785883
LOC105318849,2.2048256215452535
LOC105318841,-0.8690513123009209
LOC105318825,5.614586752168518
LOC109617424,nan
LOC117684897,nan
LOC109618744,0.9651339669710597
LOC105342026,-1.7956618338805899
LOC117690252,nan
LOC105342027,-2.695617471418659
LOC109620420,0.3849190710089416
LOC105342022,-0.09262069712601675
LOC105342021,0.779897912255002
LOC105342020,3.634876089386891
LOC105342019,-1.2515944676070108
LOC105342018,-0.8886551696201875
LOC105342017,-1.0050886725302735
LOC105342016,0.22922635593492155
LOC105342014,-0.944158674370043
LOC105342013,-0.8439781469377237
LOC105342012,1.3694190647679894
LOC105340508,nan
LOC105340509,2.5467869715764118
LOC109620264,-0.5941167364979845
LOC105340512,-1.1685996195171016
LOC105340513,-0.40750439128724153
LOC105340515,-0.20546268337712187
LOC117687203,-0.8824315583152015
LOC105340516,0.8713190373425681
LOC105340518,-0.5937696916767394
LOC105340523,1.847299316885701
LOC105340522,3.5348115111103064
LOC105340521,0.5417981576126503
LOC105340524,1.3049254241337682
LOC105340525,-1.3002678895917266
LOC117691716,2.0875541078359383
LOC105340526,1.9666396479055726
LOC117680419,-1.3929804455995538
LOC105340527,-2.411492450098309
LOC109617279,nan
LOC109617282,0.08399792912842573
LOC105317485,-0.41286675074849566
LOC105317487,-0.517426022816565
LOC105317489,-0.35343080380377345
LOC105317491,-0.5214323584366286
LOC105317492,-1.3454329994225513
LOC105317493,2.05560938512738
LOC105317494,1.04919121561261
LOC105317495,0.5573627832018346
LOC105317496,3.087943919764511
LOC105317497,-1.0
LOC105317498,0.452336493916442
LOC105317501,-0.022510034268742266
LOC105317500,-0.46533717909413114
LOC105317502,-0.05203342200048136
LOC105317504,3.752669301410484
LOC105317526,0.8297829239602351
LOC109617655,nan
LOC105317505,-1.010256894259284
LOC105317506,-0.9854812746351482
LOC105317507,-0.6928416454771888
LOC105345332,-1.308177195890781
LOC105345358,-1.3878104188739986
LOC105345333,0.05179242741306829
LOC105345335,-0.4425697696618697
LOC105345336,-2.2715100384769875
LOC105345337,0.7610764707642256
LOC105329330,0.2633872973346325
LOC109618879,-1.1288762496648836
LOC105329332,nan
LOC105329329,3.022836296777863
LOC105329328,0.8681806608070767
LOC105329326,-0.4855139576570128
LOC105329325,-1.1426970796191083
LOC105324474,0.642351270026254
LOC105324473,1.5667463590400383
LOC105324472,-1.3250136983180318
LOC105339389,-0.0556452780059617
LOC105339388,-2.1590050295682337
LOC109617286,1.1852380249364447
LOC105317558,-0.2004649038808262
LOC105317560,1.8714020214554699
LOC105317561,0.09331622686289885
LOC105317562,-0.003980078136545275
LOC105317566,-0.19752337288875446
LOC117681262,2.751601586297895
LOC105331442,nan
LOC105331435,1.382399828061522
LOC105328178,1.3254722771588054
LOC117687238,nan
LOC117692829,-1.1995626009678682
LOC105341790,1.7445704563037239
LOC105341780,4.389962719843521
LOC105341764,1.9271073394712415
LOC105341732,2.1888403298398407
LOC117692853,-0.3465770362803633
LOC105341723,8.032967963846557
LOC117692851,-0.5455679378079109
LOC105341957,4.541175349614835
LOC105317911,-0.2658574392319599
LOC105317914,1.0023781899095385
LOC105317913,-1.1521882176406504
LOC105317915,0.24327674698204835
LOC105317917,2.5086993613707365
LOC105319127,-0.8871116299562428
LOC105319126,2.64031142623931
LOC117692889,-0.25427449366099375
LOC105319125,5.1330328104536695
LOC105319124,-0.5235363293503096
